1467796317632147458,@BoredBunnyNFT,RUG,1509565462727827466
1464242487497834508,@SILVERBACKLGNDS,RUG,1517288367771291648
12933442,@uwu,SCAMMER,1569323618743492610
1336706742990716928,@shadows_defi,SCAM,1564366005618749441
1537741458773516289,@ladyapeclub,SCAM,1553780274428780546
1236625952018501637,@tnc_it_group,SCAM,1553780274428780546
1429899448373678080,@winterbearsnft,RUG,1559198760865091585
1104060092314501120,@0xnushi,RUG,1559198760865091585
1439389638859296768,@OphidianDev,RUG,1559198760865091585
1355924951463731203,@gumptionbear,RUG,1559198760865091585
40563151,@simplyianm,GRIFTER,1555277506646794240
1498281614790782977,@MuverseNFT,SCAM,1554124660840828929
28076276,@jasonderulo,SHILLS SCAMS,1553036440648486914
26895879,@NeYoCompound,SHILLS SCAMS,1553036440648486914
18785430,@freddurst,SHILLS SCAMS,1553036440648486914
28331519,@smoss,SHILLS SCAMS,1553036440648486914
968979897673658368,@crypto888crypto,RUGGER,1551991535520153600
1399018969240064000,@BONEHEADS,RUG,1563592378761355265
1366049980193140740,@0xfanfaron,FRAUD,1563266854319460352
1447854426614480898,@onepad_io,FRAUD,1507080811597766662
970014782135844864,@machibigbrother,EMBEZZLEMENT,1537435280176623616,1537487953165000704
2259434528,@cobie,INSIDER TRADING,1550150230607282177
441115772,@1YoungTakeoff,RUGGER,1546618586432737280
1462904828980387840,@ApesinSpaceNFT,RUG,1546618586432737280
75094638,@MissUniverse,RUGGER,1545426491340689408
1466555856871477253,@MissUniverseNft,RUG,1545426491340689408
1497045288221126697,@AutoAssassinNFT,RUG,1544699508789051392
1436148770413088779,@PopbobXBT,SCAMMER,1541984984407445505
1557898972370415616,@w9geth,SCAMMER,1537649000882520070
?,@bun919tw,SCAMMER,1537649000882520070
1138033434,@Rewkang,SCAMMER,1537649000882520070
484422564,@lumbergdoteth,SCAMMER,1537649000882520070
1413608544142721024,@roguesocietynft,RUG,1536401608954847234
1361355105266622465,@LecheTheMilky,RUGGER,1536401608954847234
155782494,@mcarterwilliams,RUG,1535769423319117829
272562079,@JeramiGrant,RUG,1535769423319117829
126458229,@thats_G_,RUG,1535769423319117829
526723721,@MZegarowski1,RUG,1535769423319117829
231335961,@TerrenceRoss,RUG,1535769423319117829
311623066,@Dennis1SmithJr,RUG,1535769423319117829
429514504,@lmccullers43,RUG,1535769423319117829
1079673586665680899,@eskyy,GRIFTER,1672083703873388544
723972914035437568,@ronaldether,SCAMMER,1672718097550131205
